wind_metric,wind_metric_label,season,interconnectorId,interconnectorName,wind_bucket,direction,level_metric,bin_width_mw,direction_observations,bin_lower_mw,bin_upper_mw,bin_mid_mw,bin_count,bin_probability_pct,pdf_density_per_mw
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,7300.0,7400.0,7350.0,61,0.47173459129224343,4.717345912922434e-05
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,7400.0,7500.0,7450.0,71,0.5490681308483489,5.490681308483489e-05
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,7500.0,7600.0,7550.0,41,0.3170675121800325,3.170675121800325e-05
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,7600.0,7700.0,7650.0,30,0.23200061866831645,2.3200061866831646e-05
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,7700.0,7800.0,7750.0,33,0.2552006805351481,2.5520068053514812e-05
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,7800.0,7900.0,7850.0,19,0.14693372515660041,1.4693372515660042e-05
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,7900.0,8000.0,7950.0,13,0.10053360142293713,1.0053360142293714e-05
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,8000.0,8100.0,8050.0,20,0.15466707911221098,1.5466707911221095e-05
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,8100.0,8200.0,8150.0,13,0.10053360142293713,1.0053360142293714e-05
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,8200.0,8300.0,8250.0,3,0.023200061866831646,2.3200061866831643e-06
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,8300.0,8400.0,8350.0,8,0.061866831644884386,6.186683164488439e-06
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,8400.0,8500.0,8450.0,3,0.023200061866831646,2.3200061866831643e-06
